,data,length_used,feature_extraction,feature_selection,model,accuracy,f1_score,recall,precision,roc_auc,note
19,fake_reviews_dataset,StandardScaler,"TF_IDF{0.001,(1, 2)}",pca,CatBoost,0.8600859757238718,0.8583059277796992,0.8476140652798057,0.8693033520882555,0.9401818650860628,
20,fake_reviews_dataset,StandardScaler,"TF_IDF{0.001,(1, 3)}",pca,CatBoost,0.8630044904013644,0.8613032096089078,0.8508933814917734,0.8720278520888822,0.9406966262349954,
21,fake_reviews_dataset,StandardScaler,"TF_IDF{0.001,(2, 2)}",pca,CatBoost,0.8239762818037981,0.8204622559773636,0.8042644191441898,0.8373431720039533,0.9028551005286192,
22,fake_reviews_dataset,StandardScaler,"TF_IDF{0.001,(2, 3)}",pca,CatBoost,0.8243966576564208,0.8204382511949474,0.8022725852083005,0.8394979534577371,0.9028529440460572,
23,fake_reviews_dataset,StandardScaler,"TF_IDF{0.001,(3, 3)}",none,CatBoost,0.7601900167976006,0.7241871254243433,0.6296506257582769,0.8521691251997574,0.8271325892689958,
24,fake_reviews_dataset,StandardScaler,"TF_IDF{0.01,(1, 1)}",none,XGBoost,0.8398546220438925,0.8394446460632136,0.8373661094547122,0.8415472182249534,0.9251073949157526,
25,fake_reviews_dataset,StandardScaler,"TF_IDF{0.01,(1, 2)}",none,XGBoost,0.8446527209767168,0.8432166292407437,0.8355776813439532,0.8510076255012422,0.930151929669085,
26,fake_reviews_dataset,StandardScaler,"TF_IDF{0.01,(1, 3)}",none,XGBoost,0.8448753096007214,0.8433985912363811,0.8356060362860905,0.8513472363625645,0.929398353673031,
27,fake_reviews_dataset,StandardScaler,"TF_IDF{0.01,(2, 2)}",none,XGBoost,0.7369411080177078,0.7063834211965674,0.632949490988201,0.7992551763034428,0.808018571114402,
28,fake_reviews_dataset,StandardScaler,"TF_IDF{0.01,(2, 3)}",none,XGBoost,0.7372873488323755,0.7058775035282995,0.6306379630561862,0.8017129858669039,0.808278401596753,
29,fake_reviews_dataset,StandardScaler,"TF_IDF{0.01,(3, 3)}",none,XGBoost,0.6308371448134483,0.5162739516169278,0.3942506347977209,0.7491063209382798,0.6772500356344432,
30,fake_reviews_dataset,StandardScaler,"TF_IDF{0.001,(1, 1)}",pca,XGBoost,0.8422783842091238,0.8403713565063173,0.8303635088353236,0.8506523743010188,0.9205395886461378,
31,fake_reviews_dataset,StandardScaler,"TF_IDF{0.001,(1, 2)}",pca,XGBoost,0.8461614648831478,0.8443554477710528,0.8346207979452313,0.8543645561178559,0.9267238851719584,
32,fake_reviews_dataset,StandardScaler,"TF_IDF{0.001,(1, 3)}",pca,XGBoost,0.8477690442923438,0.8458241518891196,0.8352557949518038,0.8567110437315588,0.9288002474064369,
33,fake_reviews_dataset,StandardScaler,"TF_IDF{0.001,(2, 2)}",pca,XGBoost,0.810298867366242,0.8069226499749382,0.7928446137383758,0.821565325122419,0.8931683885978202,
34,fake_reviews_dataset,StandardScaler,"TF_IDF{0.001,(2, 3)}",pca,XGBoost,0.8128712115746206,0.8087759993292056,0.7913645952983405,0.8269855849379306,0.8939324801680515,
35,fake_reviews_dataset,StandardScaler,"TF_IDF{0.001,(3, 3)}",none,XGBoost,0.7510636293577198,0.7077971426406837,0.6030912205492056,0.8567701838727378,0.8161551207276023,
36,fake_reviews_dataset,StandardScaler,"TF_IDF{0.01,(1, 1)}",none,LightGBM,0.8397556519670253,0.8399228485889176,0.841052352867026,0.8388189528042668,0.9253759642354008,
37,fake_reviews_dataset,StandardScaler,"TF_IDF{0.01,(1, 2)}",none,LightGBM,0.8483378920820298,0.8469982270937144,0.8397927609021334,0.8543343513273747,0.9318077610549954,
38,fake_reviews_dataset,StandardScaler,"TF_IDF{0.01,(1, 3)}",none,LightGBM,0.8478927545945509,0.846746557643101,0.8405595612641074,0.8530289914250091,0.931294003772164,
39,fake_reviews_dataset,StandardScaler,"TF_IDF{0.01,(2, 2)}",none,LightGBM,0.7384744912189023,0.7105466480425087,0.6420974334113791,0.7954356394062062,0.8095349690901067,
40,fake_reviews_dataset,StandardScaler,"TF_IDF{0.01,(2, 3)}",none,LightGBM,0.7378561690955405,0.7093784588338934,0.6400435739260271,0.795743103177719,0.8096592289572632,
41,fake_reviews_dataset,StandardScaler,"TF_IDF{0.01,(3, 3)}",none,LightGBM,0.632568403939828,0.5142137574444157,0.3892709707243668,0.7590818036363165,0.6795478815255331,
42,fake_reviews_dataset,StandardScaler,"TF_IDF{0.001,(1, 1)}",pca,LightGBM,0.8360703768726332,0.8339857717920578,0.8236726116660389,0.8446236590269203,0.9175220142203904,
43,fake_reviews_dataset,StandardScaler,"TF_IDF{0.001,(1, 2)}",pca,LightGBM,0.8396319906008554,0.838127057485262,0.830331912981866,0.8460948814968681,0.9224761806486136,
44,fake_reviews_dataset,StandardScaler,"TF_IDF{0.001,(1, 3)}",pca,LightGBM,0.8409427698855335,0.839592187060077,0.8325640359834445,0.8468151303856457,0.9239384737813868,
45,fake_reviews_dataset,StandardScaler,"TF_IDF{0.001,(2, 2)}",pca,LightGBM,0.8147755391137947,0.8122896563912297,0.8014538087816974,0.8234790489248445,0.8936450772756638,
46,fake_reviews_dataset,StandardScaler,"TF_IDF{0.001,(2, 3)}",pca,LightGBM,0.8136625439992322,0.8105160042639257,0.7969918686732115,0.8245612305932838,0.8943581327088944,
47,fake_reviews_dataset,StandardScaler,"TF_IDF{0.001,(3, 3)}",none,LightGBM,0.7572467771872795,0.7194293767254069,0.6224732560544838,0.8522073131552383,0.8226788032776611,
48,fake_reviews_dataset,StandardScaler,"TF_IDF{0.01,(1, 1)}",none,Logistics,0.811559887876528,0.8127440279516783,0.8181524011446271,0.8074150222855476,0.8945327060975601,
49,fake_reviews_dataset,StandardScaler,"TF_IDF{0.01,(1, 2)}",none,Logistics,0.8257071096813495,0.8258836035235868,0.8271216290174209,0.8246787410494878,0.9095406445867312,
50,fake_reviews_dataset,StandardScaler,"TF_IDF{0.01,(1, 3)}",none,Logistics,0.8262759177105053,0.8263143888217316,0.8269184270520455,0.8257318916356715,0.909708126665649,
51,fake_reviews_dataset,StandardScaler,"TF_IDF{0.01,(2, 2)}",none,Logistics,0.6721408577343453,0.6208104668044522,0.5368038401976731,0.736009468441236,0.7507229989312973,
52,fake_reviews_dataset,StandardScaler,"TF_IDF{0.01,(2, 3)}",none,Logistics,0.6722892960278832,0.6199958357267208,0.5347228531069232,0.7376490075625233,0.7524590678328666,
53,fake_reviews_dataset,StandardScaler,"TF_IDF{0.01,(3, 3)}",none,Logistics,0.5914621999238372,0.5915818519519075,0.5919488737022032,0.5914273223610284,0.6345814517071755,
54,fake_reviews_dataset,StandardScaler,"TF_IDF{0.001,(1, 1)}",pca,Logistics,0.8492529684523742,0.8481219255048436,0.8419374994730298,0.8544064609597353,0.9272684599881116,
55,fake_reviews_dataset,StandardScaler,"TF_IDF{0.001,(1, 2)}",pca,Logistics,0.87230398601457,0.8714358417686231,0.865888511138255,0.8770831027704526,0.9467972173692604,
56,fake_reviews_dataset,StandardScaler,"TF_IDF{0.001,(1, 3)}",pca,Logistics,0.8745546889425139,0.8735389538541714,0.8668068815671882,0.8803951154207883,0.9485733555986872,
57,fake_reviews_dataset,StandardScaler,"TF_IDF{0.001,(2, 2)}",pca,Logistics,0.8063665631557333,0.7969630953186246,0.7598947869145438,0.8378424662367685,0.8854872505741185,
58,fake_reviews_dataset,StandardScaler,"TF_IDF{0.001,(2, 3)}",pca,Logistics,0.8089881981876477,0.7992811179308764,0.760541409074896,0.8422185500814384,0.8877497722185899,
59,fake_reviews_dataset,StandardScaler,"TF_IDF{0.001,(3, 3)}",none,Logistics,0.7101553746709701,0.6262431531516253,0.4856642648395045,0.8815108251911375,0.7959679835184452,
